Transaction Date,Car Brand,Car Model,Displacement (c.c.),Manufacture Year,No. of Previous Owners,Milleage (km),Exterior Color,Reference Price (HKD)
2022/12,SUZUKI,SOLIO 2WD CVT MILD HYBRID,1242.0,2020.0,0,23500.0,Silver,"$158,000"
2022/12,BMW,X1 SDRIVE 18IA M SPORT EDITION,1499.0,2019.0,0,55000.0,Black,"$228,000"
2022/12,BMW,318IA,1499.0,2017.0,1,20000.0,White,"$148,000"
2022/12,BMW,316IA SALOON - SPORT (F30),1598.0,2013.0,2,46000.0,White,"$103,000"
2022/12,TOYOTA,ALPHARD,3456.0,2016.0,1,49000.0,Silver,"$308,000"
2022/12,SUZUKI,HUSTLER,658.0,2021.0,0,20200.0,Blue/White,"$148,000"
2022/12,AUDI,Q5 45 TFSI QUATTRO,1984.0,2017.0,0,61257.0,Grey,"$178,000"
2022/12,HONDA,JAZZ CROSSTAR,1498.0,2022.0,0,1700.0,Blue,"$178,000"
2022/12,TOYOTA,WISH,1798.0,2012.0,2,72000.0,Silver,"$58,000"
2022/12,BMW,520IA,1997.0,2016.0,1,77560.0,Grey,"$119,000"
2022/12,MAZDA,CX-5 IPM 2.0 CORE,1998.0,2021.0,0,23700.0,Blue,"$198,000"
2022/12,HONDA,STEPWGN L,1496.0,2017.0,0,62000.0,Grey,"$168,000"
2022/12,BMW,X1 SDRIVE 20IA,1997.0,2014.0,1,42000.0,Orange,"$83,000"
2022/12,BMW,120IA M SPORT EDITION,1998.0,2018.0,1,46000.0,White,"$149,000"
2022/12,MERCEDES BENZ,E200 FL PREMIUM EDITION,1991.0,2015.0,1,49000.0,Black,"$153,000"
2022/12,MERCEDES BENZ,C200 (W205),1991.0,2015.0,1,75000.0,Grey,"$138,000"
2022/12,BMW,530I,1998.0,2017.0,0,58000.0,Grey,"$198,000"
2022/12,HONDA,STEPWGN SPADA,1496.0,2018.0,0,37000.0,Black,"$248,000"
2022/12,AUDI,A3 SPORTBACK 35 TFSI,1498.0,2022.0,0,2900.0,White,"$259,000"
2022/12,VOLKSWAGEN,SHARAN 1.4 TSI,1395.0,2019.0,0,17612.0,Brown,"$188,000"
2022/12,BMW,120IA M SPORT EDITION,1998.0,2019.0,0,59000.0,Black,"$178,000"
2022/12,MERCEDES BENZ,E300 AVANTGARDE,1991.0,2018.0,0,12000.0,White,"$318,000"
2022/12,MINI,COOPER S COUNTRYMAN AT,1998.0,2017.0,0,44000.0,Green/White,"$218,000"
2022/12,NISSAN,ELGRAND 250 HWS AVM,2488.0,2018.0,0,58000.0,White,"$198,000"
2022/12,TOYOTA,NOAH,1987.0,2018.0,2,61450.0,Black-Var,"$198,000"
2022/12,MERCEDES BENZ,A45 AMG (W176),1991.0,2014.0,1,67000.0,White,"$218,000"
2022/12,BMW,X4 XDRIVE28IA XLINE (F26),1997.0,2015.0,1,52000.0,White,"$168,000"
